Combination,accuracy,random_accuracy,correct,random_correct,total
Concreteness,0.44380733944954126,0.3054281345565749,1161,799,2616
Numeric,0.44571865443425074,0.32071865443425074,1166,839,2616
Pronoun,0.44571865443425074,0.316131498470948,1166,827,2616
Suspense,0.4399847094801223,0.31077981651376146,1151,813,2616
Sentiment,0.4418960244648318,0.30313455657492355,1156,793,2616
Length,0.4491590214067278,0.31230886850152906,1175,817,2616
sentiment_length,0.43577981651376146,0.30925076452599387,1140,809,2616
sentiment_Concreteness_Label,0.43769113149847094,0.3253058103975535,1145,851,2616
sentiment_Numeric_Label,0.433868501529052,0.30007645259938837,1135,785,2616
sentiment_Suspense_Label,0.4323394495412844,0.30963302752293576,1131,810,2616
sentiment_Pronoun_Label,0.433868501529052,0.31345565749235477,1135,820,2616
length_Concreteness_Label,0.44380733944954126,0.3008409785932722,1161,787,2616
length_Numeric_Label,0.43616207951070335,0.31154434250764523,1141,815,2616
length_Suspense_Label,0.45451070336391436,0.31422018348623854,1189,822,2616
length_Pronoun_Label,0.44992354740061163,0.3119266055045872,1177,816,2616
Concreteness_Label_Numeric_Label,0.4434250764525994,0.29396024464831805,1160,769,2616
Concreteness_Label_Suspense_Label,0.44992354740061163,0.3256880733944954,1177,852,2616
Concreteness_Label_Pronoun_Label,0.43769113149847094,0.29434250764525993,1145,770,2616
Numeric_Label_Suspense_Label,0.4308103975535168,0.3073394495412844,1127,804,2616
Numeric_Label_Pronoun_Label,0.4430428134556575,0.31536697247706424,1159,825,2616
Suspense_Label_Pronoun_Label,0.43769113149847094,0.3149847094801223,1145,824,2616
sentiment_length_Concreteness_Label,0.4418960244648318,0.30504587155963303,1156,798,2616
sentiment_length_Numeric_Label,0.4399847094801223,0.31077981651376146,1151,813,2616
sentiment_length_Suspense_Label,0.4369266055045872,0.2993119266055046,1143,783,2616
sentiment_length_Pronoun_Label,0.42966360856269115,0.30925076452599387,1124,809,2616
sentiment_Concreteness_Label_Numeric_Label,0.433868501529052,0.31383792048929665,1135,821,2616
sentiment_Concreteness_Label_Suspense_Label,0.43922018348623854,0.31422018348623854,1149,822,2616
sentiment_Concreteness_Label_Pronoun_Label,0.4369266055045872,0.3119266055045872,1143,816,2616
sentiment_Numeric_Label_Suspense_Label,0.44074923547400613,0.3275993883792049,1153,857,2616
sentiment_Numeric_Label_Pronoun_Label,0.4518348623853211,0.3149847094801223,1182,824,2616
sentiment_Suspense_Label_Pronoun_Label,0.4369266055045872,0.3081039755351682,1143,806,2616
length_Concreteness_Label_Numeric_Label,0.44533639143730885,0.3077217125382263,1165,805,2616
length_Concreteness_Label_Suspense_Label,0.4319571865443425,0.3176605504587156,1130,831,2616
length_Concreteness_Label_Pronoun_Label,0.4396024464831804,0.3146024464831804,1150,823,2616
length_Numeric_Label_Suspense_Label,0.4426605504587156,0.3195718654434251,1158,836,2616
length_Numeric_Label_Pronoun_Label,0.4514525993883792,0.31422018348623854,1181,822,2616
length_Suspense_Label_Pronoun_Label,0.43654434250764523,0.3168960244648318,1142,829,2616
Concreteness_Label_Numeric_Label_Suspense_Label,0.43654434250764523,0.30237003058103973,1142,791,2616
Concreteness_Label_Numeric_Label_Pronoun_Label,0.4445718654434251,0.3146024464831804,1163,823,2616
Concreteness_Label_Suspense_Label_Pronoun_Label,0.4441896024464832,0.30925076452599387,1162,809,2616
Numeric_Label_Suspense_Label_Pronoun_Label,0.4350152905198777,0.31230886850152906,1138,817,2616
sentiment_length_Concreteness_Label_Numeric_Label,0.43922018348623854,0.3084862385321101,1149,807,2616
sentiment_length_Concreteness_Label_Suspense_Label,0.43004587155963303,0.31880733944954126,1125,834,2616
sentiment_length_Concreteness_Label_Pronoun_Label,0.4304281345565749,0.308868501529052,1126,808,2616
sentiment_length_Numeric_Label_Suspense_Label,0.43769113149847094,0.32454128440366975,1145,849,2616
sentiment_length_Numeric_Label_Pronoun_Label,0.43654434250764523,0.3069571865443425,1142,803,2616
sentiment_length_Suspense_Label_Pronoun_Label,0.4418960244648318,0.31230886850152906,1156,817,2616
sentiment_Concreteness_Label_Numeric_Label_Suspense_Label,0.4308103975535168,0.30925076452599387,1127,809,2616
sentiment_Concreteness_Label_Numeric_Label_Pronoun_Label,0.44074923547400613,0.30963302752293576,1153,810,2616
sentiment_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4518348623853211,0.30963302752293576,1182,810,2616
sentiment_Numeric_Label_Suspense_Label_Pronoun_Label,0.4445718654434251,0.31422018348623854,1163,822,2616
length_Concreteness_Label_Numeric_Label_Suspense_Label,0.4491590214067278,0.31880733944954126,1175,834,2616
length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.4422782874617737,0.3073394495412844,1157,804,2616
length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.42775229357798167,0.3008409785932722,1119,787,2616
length_Numeric_Label_Suspense_Label_Pronoun_Label,0.44495412844036697,0.31383792048929665,1164,821,2616
Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.44686544342507645,0.3268348623853211,1169,855,2616
sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label,0.43883792048929665,0.2962538226299694,1148,775,2616
sentiment_length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.43654434250764523,0.31269113149847094,1142,818,2616
sentiment_length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4331039755351682,0.3256880733944954,1133,852,2616
sentiment_length_Numeric_Label_Suspense_Label_Pronoun_Label,0.4369266055045872,0.3054281345565749,1143,799,2616
sentiment_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.43922018348623854,0.32148318042813456,1149,841,2616
length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.43845565749235477,0.30466360856269115,1147,797,2616
sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4430428134556575,0.3260703363914373,1159,853,2616
