Combo,Combo_Name,Combination,Test_Accuracy,Pred_File,New_Column_Name
1,one,Concreteness,0.4492798038614771,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Concreteness_pred_seed.csv,pred_CTR_1
1,one,Numeric,0.4520380018387986,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Numeric_pred_seed.csv,pred_CTR_2
1,one,Pronoun,0.4523444682807233,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Pronoun_pred_seed.csv,pred_CTR_3
1,one,Suspense,0.4498927367453263,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Suspense_pred_seed.csv,pred_CTR_4
1,one,Sentiment,0.4471345387680049,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Sentiment_pred_seed.csv,pred_CTR_5
1,one,Length,0.4529574011645725,e:\VS code project\Cross Attention for Combo\Combo_one_RESULT\Test_Cro_Atten_Length_pred_seed.csv,pred_CTR_6
2,two,sentiment_length,0.4523444682807233,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_length_pred_seed.csv,pred_CTR_7
2,two,sentiment_Concreteness_Label,0.4440698743487588,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_Concreteness_Label_pred_seed.csv,pred_CTR_8
2,two,sentiment_Numeric_Label,0.4443763407906834,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_Numeric_Label_pred_seed.csv,pred_CTR_9
2,two,sentiment_Suspense_Label,0.4370211461844928,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_Suspense_Label_pred_seed.csv,pred_CTR_10
2,two,sentiment_Pronoun_Label,0.4422310756972111,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_sentiment_Pronoun_Label_pred_seed.csv,pred_CTR_11
2,two,length_Concreteness_Label,0.450199203187251,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_length_Concreteness_Label_pred_seed.csv,pred_CTR_12
2,two,length_Numeric_Label,0.4456022065583818,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_length_Numeric_Label_pred_seed.csv,pred_CTR_13
2,two,length_Suspense_Label,0.4627643273061599,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_length_Suspense_Label_pred_seed.csv,pred_CTR_14
2,two,length_Pronoun_Label,0.4529574011645725,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_length_Pronoun_Label_pred_seed.csv,pred_CTR_15
2,two,Concreteness_Label_Numeric_Label,0.4492798038614771,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_Concreteness_Label_Numeric_Label_pred_seed.csv,pred_CTR_16
2,two,Concreteness_Label_Suspense_Label,0.4569414649095924,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_Concreteness_Label_Suspense_Label_pred_seed.csv,pred_CTR_17
2,two,Concreteness_Label_Pronoun_Label,0.4465216058841557,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_Concreteness_Label_Pronoun_Label_pred_seed.csv,pred_CTR_18
2,two,Numeric_Label_Suspense_Label,0.4403922770456635,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_Numeric_Label_Suspense_Label_pred_seed.csv,pred_CTR_19
2,two,Numeric_Label_Pronoun_Label,0.4520380018387986,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_Numeric_Label_Pronoun_Label_pred_seed.csv,pred_CTR_20
2,two,Suspense_Label_Pronoun_Label,0.4456022065583818,e:\VS code project\Cross Attention for Combo\Combo_two_RESULT\Test_Cro_Atten_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_21
3,three,sentiment_length_Concreteness_Label,0.4554091326999693,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_length_Concreteness_Label_pred_seed.csv,pred_CTR_22
3,three,sentiment_length_Numeric_Label,0.4452957401164572,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_length_Numeric_Label_pred_seed.csv,pred_CTR_23
3,three,sentiment_length_Suspense_Label,0.4443763407906834,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_length_Suspense_Label_pred_seed.csv,pred_CTR_24
3,three,sentiment_length_Pronoun_Label,0.437634079068342,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_length_Pronoun_Label_pred_seed.csv,pred_CTR_25
3,three,sentiment_Concreteness_Label_Numeric_Label,0.4443763407906834,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_Concreteness_Label_Numeric_Label_pred_seed.csv,pred_CTR_26
3,three,sentiment_Concreteness_Label_Suspense_Label,0.4489733374195525,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_Concreteness_Label_Suspense_Label_pred_seed.csv,pred_CTR_27
3,three,sentiment_Concreteness_Label_Pronoun_Label,0.4434569414649096,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_Concreteness_Label_Pronoun_Label_pred_seed.csv,pred_CTR_28
3,three,sentiment_Numeric_Label_Suspense_Label,0.4529574011645725,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_Numeric_Label_Suspense_Label_pred_seed.csv,pred_CTR_29
3,three,sentiment_Numeric_Label_Pronoun_Label,0.4563285320257432,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_Numeric_Label_Pronoun_Label_pred_seed.csv,pred_CTR_30
3,three,sentiment_Suspense_Label_Pronoun_Label,0.4449892736745326,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_sentiment_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_31
3,three,length_Concreteness_Label_Numeric_Label,0.4511186025130248,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_length_Concreteness_Label_Numeric_Label_pred_seed.csv,pred_CTR_32
3,three,length_Concreteness_Label_Suspense_Label,0.4456022065583818,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_length_Concreteness_Label_Suspense_Label_pred_seed.csv,pred_CTR_33
3,three,length_Concreteness_Label_Pronoun_Label,0.4514250689549494,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_length_Concreteness_Label_Pronoun_Label_pred_seed.csv,pred_CTR_34
3,three,length_Numeric_Label_Suspense_Label,0.4492798038614771,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_length_Numeric_Label_Suspense_Label_pred_seed.csv,pred_CTR_35
3,three,length_Numeric_Label_Pronoun_Label,0.4535703340484217,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_length_Numeric_Label_Pronoun_Label_pred_seed.csv,pred_CTR_36
3,three,length_Suspense_Label_Pronoun_Label,0.4403922770456635,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_length_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_37
3,three,Concreteness_Label_Numeric_Label_Suspense_Label,0.4443763407906834,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_Concreteness_Label_Numeric_Label_Suspense_Label_pred_seed.csv,pred_CTR_38
3,three,Concreteness_Label_Numeric_Label_Pronoun_Label,0.4483604045357033,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_Concreteness_Label_Numeric_Label_Pronoun_Label_pred_seed.csv,pred_CTR_39
3,three,Concreteness_Label_Suspense_Label_Pronoun_Label,0.450199203187251,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_Concreteness_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_40
3,three,Numeric_Label_Suspense_Label_Pronoun_Label,0.4477474716518541,e:\VS code project\Cross Attention for Combo\Combo_three_RESULT\Test_Cro_Atten_Numeric_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_41
4,four,sentiment_length_Concreteness_Label_Numeric_Label,0.4520380018387986,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_length_Concreteness_Label_Numeric_Label_pred_seed.csv,pred_CTR_42
4,four,sentiment_length_Concreteness_Label_Suspense_Label,0.4388599448360404,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_length_Concreteness_Label_Suspense_Label_pred_seed.csv,pred_CTR_43
4,four,sentiment_length_Concreteness_Label_Pronoun_Label,0.443150475022985,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_length_Concreteness_Label_Pronoun_Label_pred_seed.csv,pred_CTR_44
4,four,sentiment_length_Numeric_Label_Suspense_Label,0.4400858106037389,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_length_Numeric_Label_Suspense_Label_pred_seed.csv,pred_CTR_45
4,four,sentiment_length_Numeric_Label_Pronoun_Label,0.446215139442231,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_length_Numeric_Label_Pronoun_Label_pred_seed.csv,pred_CTR_46
4,four,sentiment_length_Suspense_Label_Pronoun_Label,0.4523444682807233,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_length_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_47
4,four,sentiment_Concreteness_Label_Numeric_Label_Suspense_Label,0.4382470119521912,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_Concreteness_Label_Numeric_Label_Suspense_Label_pred_seed.csv,pred_CTR_48
4,four,sentiment_Concreteness_Label_Numeric_Label_Pronoun_Label,0.4544897333741955,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_Concreteness_Label_Numeric_Label_Pronoun_Label_pred_seed.csv,pred_CTR_49
4,four,sentiment_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4575543977934416,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_Concreteness_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_50
4,four,sentiment_Numeric_Label_Suspense_Label_Pronoun_Label,0.4511186025130248,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_sentiment_Numeric_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_51
4,four,length_Concreteness_Label_Numeric_Label_Suspense_Label,0.4547961998161201,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_length_Concreteness_Label_Numeric_Label_Suspense_Label_pred_seed.csv,pred_CTR_52
4,four,length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.450199203187251,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_length_Concreteness_Label_Numeric_Label_Pronoun_Label_pred_seed.csv,pred_CTR_53
4,four,length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4385534783941158,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_length_Concreteness_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_54
4,four,length_Numeric_Label_Suspense_Label_Pronoun_Label,0.4538768004903463,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_length_Numeric_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_55
4,four,Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.451731535396874,e:\VS code project\Cross Attention for Combo\Combo_four_RESULT\Test_Cro_Atten_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_56
5,five,sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label,0.4529574011645725,e:\VS code project\Cross Attention for Combo\Combo_five_RESULT\Test_Cro_Atten_sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label_pred_seed.csv,pred_CTR_57
5,five,sentiment_length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.4434569414649096,e:\VS code project\Cross Attention for Combo\Combo_five_RESULT\Test_Cro_Atten_sentiment_length_Concreteness_Label_Numeric_Label_Pronoun_Label_pred_seed.csv,pred_CTR_58
5,five,sentiment_length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4428440085810604,e:\VS code project\Cross Attention for Combo\Combo_five_RESULT\Test_Cro_Atten_sentiment_length_Concreteness_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_59
5,five,sentiment_length_Numeric_Label_Suspense_Label_Pronoun_Label,0.4419246092552865,e:\VS code project\Cross Attention for Combo\Combo_five_RESULT\Test_Cro_Atten_sentiment_length_Numeric_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_60
5,five,sentiment_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4495862703034017,e:\VS code project\Cross Attention for Combo\Combo_five_RESULT\Test_Cro_Atten_sentiment_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_61
5,five,length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.444682807232608,e:\VS code project\Cross Attention for Combo\Combo_five_RESULT\Test_Cro_Atten_length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_62
6,six,sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4557155991418939,e:\VS code project\Cross Attention for Combo\Combo_six_RESULT\Test_Cro_Atten_sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label_pred_seed.csv,pred_CTR_63
